platform_id,contact_mail,website
3,caronni@comcast.net,facebook.com
11,null,usgs.gov
24,mschilli@optonline.net,null
0,kmiller@yahoo.com,null
4,ninenine@me.com,nymag.com
5,animats@yahoo.com,bravesites.com
6,seurat@yahoo.ca,comcast.net
7,ylchang@me.com,spiegel.de
8,rsteiner@optonline.net,japanpost.jp
9,unreal@hotmail.com,slideshare.net
10,clkao@gmail.com,pbs.org
1,crandall@comcast.net,google.com.hk
12,null,sourceforge.net
13,knorr@comcast.net,china.com.cn
14,jdhedden@msn.com,creativecommons.org
15,crypt@hotmail.com,jigsy.com
16,null,mashable.com
17,william@sbcglobal.net,elegantthemes.com
18,hermanab@sbcglobal.net,ca.gov
19,goldberg@aol.com,ucoz.com
20,daveewart@yahoo.com,yandex.ru
21,eurohack@outlook.com,comcast.net
22,rhialto@me.com,hao123.com
23,gtaylor@yahoo.com,salon.com
2,null,digg.com
25,kodeman@icloud.com,free13runpool.com
26,mastinfo@comcast.net,alibaba.com
27,improv@optonline.net,live.com
28,andersbr@att.net,feedburner.com
29,hstiles@me.com,wordpress.org
30,greear@live.com,reuters.com
31,danny@me.com,upenn.edu
32,agolomsh@outlook.com,msu.edu
33,mchugh@icloud.com,null
34,andrei@optonline.net,cpanel.net
35,techie@outlook.com,businesswire.com
36,null,delicious.com
37,scotfl@hotmail.com,pbs.org
38,null,about.me
39,kenja@live.com,flavors.me
40,knorr@me.com,so-net.ne.jp
41,tokuhirom@outlook.com,sohu.com
42,dbindel@yahoo.com,indiatimes.com
43,bhima@hotmail.com,state.tx.us
44,webinc@att.net,null
45,sburke@hotmail.com,patch.com
46,parasite@comcast.net,typepad.com
47,wildfire@yahoo.ca,bloomberg.com
48,lishoy@me.com,g.co
49,uraeus@outlook.com,delicious.com
50,null,opensource.org
51,grady@msn.com,about.me
52,null,bing.com
53,null,cornell.edu
54,murdocj@mac.com,surveymonkey.com
55,mcraigw@sbcglobal.net,icq.com
56,dkrishna@gmail.com,sourceforge.net
57,mirod@hotmail.com,ustream.tv
58,mavilar@yahoo.com,netlog.com
59,eimear@aol.com,null
60,heckerman@live.com,newsvine.com
61,murdocj@verizon.net,null
62,fbriere@sbcglobal.net,irs.gov
63,garyjb@aol.com,163.com
64,lstein@live.com,paypal.com
65,hager@icloud.com,null
66,malattia@msn.com,mail.ru
67,grady@verizon.net,homestead.com
68,rogerspl@yahoo.com,hao123.com
69,jdhildeb@aol.com,jiathis.com
70,kildjean@msn.com,ustream.tv
71,dialworld@msn.com,time.com
72,rhialto@hotmail.com,google.co.jp
73,drjlaw@me.com,mail.ru
74,roesch@sbcglobal.net,facebook.com
75,tkrotchko@verizon.net,null
76,petersko@gmail.com,null
77,null,yellowbook.com
78,pontipak@optonline.net,weather.com
79,aukjan@yahoo.com,spiegel.de
80,plover@outlook.com,blogtalkradio.com
81,kewley@att.net,zdnet.com
82,scottlee@comcast.net,utexas.edu
83,jacks@icloud.com,null
84,scottlee@me.com,furl.net
85,isaacson@icloud.com,jigsy.com
86,balchen@att.net,yellowpages.com
87,caronni@gmail.com,google.com.hk
88,world@yahoo.com,paginegialle.it
89,violinhi@me.com,null
90,andale@optonline.net,plala.or.jp
91,tamas@optonline.net,slate.com
92,heroine@comcast.net,shareasale.com
93,killmenow@sbcglobal.net,odnoklassniki.ru
94,null,princeton.edu
95,gtewari@me.com,null
96,pdbaby@yahoo.ca,null
97,nogin@verizon.net,wordpress.org
98,cisugrad@yahoo.com,nba.com
99,mallanmba@icloud.com,null
100,fviegas@verizon.net,deviantart.com
101,matloff@hotmail.com,yellowbook.com
102,portscan@sbcglobal.net,mayoclinic.com
103,djpig@icloud.com,devhub.com
104,mschwartz@gmail.com,stanford.edu
105,null,elpais.com
106,petersen@me.com,pcworld.com
107,tskirvin@yahoo.ca,yolasite.com
108,null,istockphoto.com
109,eurohack@sbcglobal.net,washington.edu
110,mgemmons@aol.com,jimdo.com
111,null,reverbnation.com
112,durist@yahoo.ca,mit.edu
113,dbanarse@sbcglobal.net,blog.com
114,raines@live.com,springer.com
115,kuparine@me.com,amazon.com
116,null,bloomberg.com
117,dmiller@gmail.com,null
118,matloff@me.com,wiley.com
119,vertigo@live.com,reference.com
120,munge@icloud.com,businesswire.com
121,null,ovh.net
122,fukuchi@live.com,nba.com
123,null,indiatimes.com
124,null,state.gov
125,rfisher@aol.com,scribd.com
126,donev@hotmail.com,mayoclinic.com
127,rsteiner@att.net,sciencedaily.com
128,ganter@att.net,microsoft.com
129,magusnet@live.com,macromedia.com
130,mlewan@live.com,booking.com
131,skoch@verizon.net,null
132,sjmuir@gmail.com,miibeian.gov.cn
133,michiel@mac.com,ed.gov
134,biglou@optonline.net,squidoo.com
135,crobles@att.net,shinystat.com
136,vmalik@icloud.com,state.gov
137,heine@comcast.net,un.org
138,mxiao@comcast.net,null
139,hakim@outlook.com,salon.com
140,andrewik@outlook.com,sourceforge.net
141,blixem@att.net,google.ru
142,bescoto@msn.com,dailymotion.com
143,skippy@yahoo.ca,yellowbook.com
144,dbrobins@outlook.com,furl.net
145,benanov@verizon.net,null
146,heckerman@msn.com,aol.com
147,tlinden@att.net,null
148,crowemojo@mac.com,sohu.com
149,gtewari@sbcglobal.net,smugmug.com
150,kewley@mac.com,ox.ac.uk
151,pappp@gmail.com,springer.com
152,michiel@me.com,null
153,hikoza@comcast.net,null
154,murty@yahoo.com,ebay.co.uk
155,sthomas@yahoo.com,foxnews.com
156,stinson@comcast.net,shinystat.com
157,larry@icloud.com,slate.com
158,crusader@yahoo.ca,feedburner.com
159,timtroyr@mac.com,wired.com
160,null,null
161,staffelb@gmail.com,null
162,dodong@sbcglobal.net,cnet.com
163,null,acquirethisname.com
164,andrewik@verizon.net,null
165,dbanarse@live.com,wired.com
166,falcao@comcast.net,indiegogo.com
167,sartak@me.com,squidoo.com
168,staffelb@verizon.net,bravesites.com
169,luvirini@live.com,google.com
170,drezet@att.net,wired.com
171,bhtower@live.com,netscape.com
172,pavel@att.net,spiegel.de
